t_s,gz_filt_dps,ax_filt_mms2,ay_filt_mms2,az_filt_mms2,ax_raw_mms2,ay_raw_mms2,az_raw_mms2
6.2520,93.3153,-2392.75,10539.52,1537.07,-1387.64,13275.26,3005.74
6.2630,95.5217,-2705.80,10106.41,1689.00,-3957.96,7652.13,2296.72
6.2730,97.0452,-2236.42,10038.35,1279.41,-358.92,9652.69,-358.92
6.2830,98.4896,-2276.33,9589.22,1213.98,-2435.97,7044.12,952.23
6.2930,101.4957,-2230.79,9615.21,608.33,-2048.61,9762.52,-1814.23
6.3040,103.3269,-2223.97,9613.62,704.96,-2196.69,9604.63,1091.48
6.3150,104.3778,-1966.68,9732.90,305.47,-937.52,10408.78,-1292.52
6.3250,104.0425,-1958.15,10127.16,495.23,-1924.06,12361.28,1254.27
6.3350,105.5927,-1949.38,9875.05,649.78,-1914.26,8446.47,1268.00
6.3460,105.1448,-1695.42,9747.70,767.74,-679.60,9026.04,1239.56
6.3560,106.3854,-1551.68,9223.75,792.28,-976.74,6254.68,890.44
6.3660,106.4137,-1492.99,9196.15,410.82,-1258.19,9039.77,-1115.02
6.3760,107.0636,-1771.61,9239.48,28.18,-2886.10,9484.99,-1502.38
6.3870,106.4265,-1891.93,9119.79,258.88,-2373.21,8441.56,1181.70
6.3970,106.4215,-1568.07,9068.36,329.69,-272.62,8776.95,612.92
6.4070,105.2420,-1368.41,9453.89,-17.70,-569.77,11638.53,-1407.25
6.4170,103.3664,-1302.43,9347.35,-39.07,-1038.52,8743.61,-124.54
6.4270,99.6594,-1146.29,10178.51,-966.42,-521.71,14888.46,-4675.81
6.4380,98.2616,-852.89,9808.23,-543.46,320.68,7709.99,1148.36
6.4480,97.1781,-931.21,9754.01,-676.01,-1244.46,9446.75,-1206.22
6.4580,95.7896,-937.37,9506.25,-1028.00,-962.03,8102.25,-2435.97
6.4680,92.5707,-425.49,9511.74,-539.97,1622.02,9542.85,1412.16
6.4790,88.9105,84.62,9703.07,-937.41,2125.10,10787.32,-2527.17
6.4890,85.6553,-204.14,9161.40,-468.48,-1359.20,6091.89,1407.25
6.4990,82.0747,35.76,8950.16,-251.22,995.37,7753.14,617.82
6.5090,78.6022,682.32,8937.86,-779.96,3268.56,8868.15,-2894.92
6.5200,73.9875,190.86,8723.52,-236.41,-1775.00,7508.95,1937.79
6.5300,70.6312,505.92,9124.88,-315.44,1766.18,11399.25,-631.55
6.5400,67.2108,687.17,8853.81,-1090.82,1412.16,7317.72,-4192.34
6.5500,62.4226,1265.62,8547.93,-520.40,3579.43,6814.64,1761.27
6.5610,57.9998,1291.00,8995.78,-1005.90,1392.54,11533.60,-2947.88
6.5710,52.3628,784.89,8995.91,-60.98,-1239.56,8996.62,3718.68
6.5810,48.0599,1453.04,8532.36,-427.71,4125.66,5905.56,-1894.64
6.5910,43.5569,1051.42,8235.28,-165.06,-555.06,6551.82,885.54
6.6020,40.5938,2069.13,8248.27,16.23,6139.94,8321.92,741.38
6.6120,36.6716,716.41,8160.32,539.40,-4694.44,7661.94,2632.10
6.6220,30.7341,716.41,8110.72,523.31,9561.48,7829.63,458.95
6.6320,26.4729,1712.08,8582.52,-167.20,5694.72,11256.07,-2929.25
6.6430,22.3140,2435.84,8893.09,-870.83,5330.89,10652.96,-3685.34
6.6530,18.6467,1570.53,8658.11,-450.71,-1890.72,7326.55,1229.75
6.6630,14.4627,1553.17,8887.76,16.59,1483.75,10189.11,1885.82
6.6730,10.6939,2267.53,9520.73,586.57,5124.96,13107.57,2866.48
6.6830,5.9137,2723.29,9009.35,-764.42,4546.36,6111.50,-6168.38
6.6940,2.2525,2917.47,9009.35,-727.25,3694.17,2924.34,-578.59
6.7040,-1.7593,2124.31,8311.21,-370.37,-1048.33,4355.13,1057.16
6.7140,-5.9955,2124.31,8430.65,-522.24,10189.11,9107.44,-1129.73
6.7240,-10.3049,1102.22,8525.69,-366.01,-2986.12,9064.29,258.90
6.7350,-15.0014,1402.51,8753.58,-243.97,2603.67,10044.95,244.19
6.7450,-18.6880,2736.77,8701.04,-222.05,8073.81,8403.32,-134.35
6.7550,-23.8727,2636.40,8698.75,5.16,2234.94,8685.75,913.98
6.7650,-28.4679,2636.40,8979.67,-684.11,10714.75,10571.57,-3441.15
6.7760,-32.5456,2436.47,8708.02,-844.03,1636.73,7168.66,-1483.75
6.7860,-37.0799,2762.74,8742.78,-692.49,4067.80,8939.74,-86.30
6.7960,-40.3380,3229.49,8335.88,-573.21,5096.52,6030.11,-96.11
6.8060,-45.9996,2759.72,8203.16,-573.21,880.64,7451.09,8815.20
6.8170,-50.1308,3128.62,8354.54,-386.78,4604.22,9212.37,358.92
6.8270,-53.9256,3574.96,8466.00,-1010.99,5360.31,9097.63,-3507.84
6.8370,-58.8919,3089.64,8610.32,-987.87,1148.36,9428.11,-895.35
6.8470,-62.8724,3306.26,8428.49,-1421.06,4172.73,7398.14,-3153.82
6.8580,-65.4067,2596.17,8559.02,-340.54,-244.19,9298.67,3981.50
6.8680,-70.0577,3380.63,8468.29,-995.97,6518.48,7954.17,-3617.67
6.8780,-72.7464,3635.74,8628.01,-1070.58,4656.20,9533.04,-1369.01
6.8880,-76.4765,3604.48,8585.77,-583.64,3479.40,8346.44,1364.11
6.8990,-79.9486,3621.43,8466.61,-723.46,3689.26,7791.38,-1282.71
6.9090,-82.0431,3676.19,8917.25,-124.13,3895.20,11470.84,2273.18
6.9190,-83.6142,3158.26,9232.18,-388.40,1086.58,11016.79,-1445.50
6.9290,-89.8169,3281.72,8660.67,-368.19,3775.56,5422.10,-287.33
6.9390,-92.7519,3298.31,8553.96,-725.26,3364.66,7949.27,-2153.54
6.9500,-96.1714,3416.71,8803.50,40.95,3890.30,10217.55,3105.77
6.9600,-99.5310,3516.33,8851.15,-658.22,3914.81,9121.17,-3454.88
6.9700,-101.4417,3369.10,8873.70,125.17,2780.19,9001.52,3258.75
6.9800,-104.3332,3299.17,8938.92,-248.19,3019.47,9308.47,-1741.66
6.9910,-105.3073,3314.04,8957.72,-204.24,3373.49,9064.29,-28.44
7.0010,-109.2231,3155.68,9069.18,-102.20,2522.27,9700.74,305.97
7.0110,-111.6702,3252.00,9232.75,-350.66,3637.29,10159.69,-1344.49
7.0210,-115.1052,3389.27,9187.33,57.41,3938.35,8929.94,1689.69
7.0320,-117.0267,3202.34,9483.23,-346.53,2454.60,11159.97,-1962.31
7.0420,-120.7867,3211.86,9746.95,-508.86,3249.92,11241.36,-1158.17
7.0520,-123.9437,3149.45,9963.17,94.42,2899.83,11188.41,2507.56
7.0620,-129.2196,3725.58,9765.08,-0.95,6030.11,8642.60,-382.46
